Year,Month,SST_Anomaly,ENSO_Phase
1870,Apr,-0.81,La Niña
1870,Aug,-0.88,La Niña
1870,Dec,-0.79,La Niña
1870,Feb,-1.2,La Niña
1870,Jan,-1.0,La Niña
1870,Jul,-1.04,La Niña
1870,Jun,-1.08,La Niña
1870,Mar,-0.83,La Niña
1870,May,-1.27,La Niña
1870,Nov,-0.79,La Niña
1870,Oct,-0.92,La Niña
1870,Sep,-0.53,La Niña
1871,Apr,-0.5,La Niña
1871,Aug,-0.33,Neutral
1871,Dec,-0.58,Neutral
1871,Feb,-0.58,Neutral
1871,Jan,-0.25,Neutral
1871,Jul,-0.6,Neutral
1871,Jun,-0.53,Neutral
1871,Mar,-0.43,Neutral
1871,May,-0.7,Neutral
1871,Nov,-0.31,Neutral
1871,Oct,-0.33,Neutral
1871,Sep,-0.24,Neutral
1872,Apr,-0.77,La Niña
1872,Aug,-0.85,La Niña
1872,Dec,-0.88,La Niña
1872,Feb,-0.62,La Niña
1872,Jan,-0.72,La Niña
1872,Jul,-0.32,Neutral
1872,Jun,-0.52,La Niña
1872,Mar,-0.5,La Niña
1872,May,-0.62,La Niña
1872,Nov,-0.79,La Niña
1872,Oct,-0.94,La Niña
1872,Sep,-1.02,La Niña
1873,Apr,-0.67,La Niña
1873,Aug,-0.39,Neutral
1873,Dec,-0.7,Neutral
1873,Feb,-1.01,Neutral
1873,Jan,-0.78,Neutral
1873,Jul,-0.58,Neutral
1873,Jun,-0.48,Neutral
1873,Mar,-1.31,Neutral
1873,May,-0.53,Neutral
1873,Nov,-0.77,Neutral
1873,Oct,-0.78,Neutral
1873,Sep,-0.34,Neutral
1874,Apr,-0.94,La Niña
1874,Aug,-1.05,La Niña
1874,Dec,-1.14,La Niña
1874,Feb,-1.06,La Niña
1874,Jan,-0.93,La Niña
1874,Jul,-1.0,La Niña
1874,Jun,-0.72,La Niña
1874,Mar,-1.4,La Niña
1874,May,-0.86,La Niña
1874,Nov,-1.33,La Niña
1874,Oct,-1.25,La Niña
1874,Sep,-1.13,La Niña
1875,Apr,-0.87,La Niña
1875,Aug,-0.81,La Niña
1875,Dec,-0.75,La Niña
1875,Feb,-0.37,Neutral
1875,Jan,-0.71,La Niña
1875,Jul,-0.85,La Niña
1875,Jun,-0.76,La Niña
1875,Mar,-0.59,La Niña
1875,May,-1.09,La Niña
1875,Nov,-0.64,La Niña
1875,Oct,-0.83,La Niña
1875,Sep,-0.91,La Niña
1876,Apr,-1.18,La Niña
1876,Aug,-0.16,Neutral
1876,Dec,0.23,Neutral
1876,Feb,-1.2,Neutral
1876,Jan,-0.95,Neutral
1876,Jul,-0.34,Neutral
1876,Jun,-0.43,Neutral
1876,Mar,-1.13,Neutral
1876,May,-1.08,Neutral
1876,Nov,0.15,Neutral
1876,Oct,0.11,Neutral
1876,Sep,-0.02,Neutral
1877,Apr,0.5,Neutral
1877,Aug,1.54,Neutral
1877,Dec,2.49,Neutral
1877,Feb,0.46,Neutral
1877,Jan,0.35,Neutral
1877,Jul,1.42,El Niño
1877,Jun,0.98,El Niño
1877,Mar,0.52,El Niño
1877,May,0.76,El Niño
1877,Nov,2.08,El Niño
1877,Oct,1.95,El Niño
1877,Sep,1.75,El Niño
1878,Apr,0.92,El Niño
1878,Aug,-0.11,Neutral
1878,Dec,-0.75,Neutral
1878,Feb,2.43,Neutral
1878,Jan,2.41,Neutral
1878,Jul,0.25,Neutral
1878,Jun,0.92,Neutral
1878,Mar,1.31,Neutral
1878,May,0.82,Neutral
1878,Nov,-0.7,Neutral
1878,Oct,-0.53,Neutral
1878,Sep,-0.32,Neutral
1879,Apr,-0.37,Neutral
1879,Aug,-0.69,Neutral
1879,Dec,-1.02,Neutral
1879,Feb,-0.18,Neutral
1879,Jan,-0.55,Neutral
1879,Jul,-0.77,Neutral
1879,Jun,-0.67,Neutral
1879,Mar,-0.24,Neutral
1879,May,-0.83,La Niña
1879,Nov,-1.14,La Niña
1879,Oct,-0.93,La Niña
1879,Sep,-0.83,La Niña
1880,Apr,-0.57,La Niña
1880,Aug,-0.24,Neutral
1880,Dec,0.18,Neutral
1880,Feb,-0.73,La Niña
1880,Jan,-1.0,La Niña
1880,Jul,-0.53,La Niña
1880,Jun,-0.61,La Niña
1880,Mar,-0.62,La Niña
1880,May,-0.71,La Niña
1880,Nov,0.24,Neutral
1880,Oct,0.17,Neutral
1880,Sep,-0.03,Neutral
1881,Apr,0.41,Neutral
1881,Aug,-0.17,Neutral
1881,Dec,-0.37,Neutral
1881,Feb,0.23,Neutral
1881,Jan,0.29,Neutral
1881,Jul,-0.26,Neutral
1881,Jun,0.23,Neutral
1881,Mar,0.32,Neutral
1881,May,0.16,Neutral
1881,Nov,-0.59,Neutral
1881,Oct,-0.43,Neutral
1881,Sep,-0.33,Neutral
1882,Apr,0.1,Neutral
1882,Aug,-0.33,Neutral
1882,Dec,-0.75,Neutral
1882,Feb,-0.55,Neutral
1882,Jan,-0.45,Neutral
1882,Jul,-0.57,Neutral
1882,Jun,-0.4,Neutral
1882,Mar,-0.53,Neutral
1882,May,0.01,Neutral
1882,Nov,-0.92,Neutral
1882,Oct,-0.65,Neutral
1882,Sep,-0.51,Neutral
1883,Apr,-0.23,Neutral
1883,Aug,-0.03,Neutral
1883,Dec,-0.14,Neutral
1883,Feb,-0.49,Neutral
1883,Jan,-0.46,Neutral
1883,Jul,-0.01,Neutral
1883,Jun,-0.21,Neutral
1883,Mar,-0.4,Neutral
1883,May,-0.38,Neutral
1883,Nov,-0.22,Neutral
1883,Oct,-0.42,Neutral
1883,Sep,-0.17,Neutral
1884,Apr,0.26,Neutral
1884,Aug,0.2,Neutral
1884,Dec,0.35,Neutral
1884,Feb,-0.01,Neutral
1884,Jan,-0.11,Neutral
1884,Jul,0.28,Neutral
1884,Jun,-0.13,Neutral
1884,Mar,-0.0,Neutral
1884,May,0.4,Neutral
1884,Nov,0.3,Neutral
1884,Oct,0.29,Neutral
1884,Sep,0.18,Neutral
1885,Apr,-0.02,Neutral
1885,Aug,0.34,Neutral
1885,Dec,1.02,Neutral
1885,Feb,0.27,Neutral
1885,Jan,0.12,Neutral
1885,Jul,0.08,Neutral
1885,Jun,0.17,Neutral
1885,Mar,0.12,Neutral
1885,May,0.44,Neutral
1885,Nov,0.81,Neutral
1885,Oct,0.72,Neutral
