Storm_ID,Year,ISO_Time,Latitude,Longitude,Storm_Intensity,Month
1851175N26270,1851,1851-06-23 12:00:00,26.1,-90.4, ,Jun
1851175N26270,1851,1851-06-23 15:00:00,26.2,-90.7, ,Jun
1851175N26270,1851,1851-06-23 18:00:00,26.3,-91.0, ,Jun
1851175N26270,1851,1851-06-23 21:00:00,26.4,-91.3, ,Jun
1851175N26270,1851,1851-06-24 00:00:00,26.5,-91.6, ,Jun
1851175N26270,1851,1851-06-24 03:00:00,26.6,-91.9, ,Jun
1851175N26270,1851,1851-06-24 06:00:00,26.7,-92.2, ,Jun
1851175N26270,1851,1851-06-24 09:00:00,26.8,-92.5, ,Jun
1851175N26270,1851,1851-06-24 12:00:00,26.9,-92.8, ,Jun
1851175N26270,1851,1851-06-24 15:00:00,27.0,-93.1, ,Jun
1851175N26270,1851,1851-06-24 18:00:00,27.1,-93.4, ,Jun
1851175N26270,1851,1851-06-24 21:00:00,27.2,-93.7, ,Jun
1851175N26270,1851,1851-06-25 00:00:00,27.5,-94.3,80,Jun
1851175N26270,1851,1851-06-25 03:00:00,27.7,-94.7,80,Jun
1851175N26270,1851,1851-06-25 06:00:00,27.8,-95.1,80,Jun
1851175N26270,1851,1851-06-25 09:00:00,27.9,-95.4,80,Jun
1851175N26270,1851,1851-06-25 12:00:00,27.9,-95.7,80,Jun
1851175N26270,1851,1851-06-25 15:00:00,28.0,-96.0,80,Jun
1851175N26270,1851,1851-06-25 18:00:00,28.0,-96.3,80,Jun
1851175N26270,1851,1851-06-25 21:00:00,28.1,-96.6,80,Jun
1851175N26270,1851,1851-06-26 00:00:00,28.2,-96.8,70,Jun
1851175N26270,1851,1851-06-26 03:00:00,28.2,-97.1,65,Jun
1851175N26270,1851,1851-06-26 06:00:00,28.3,-97.4,60,Jun
1851175N26270,1851,1851-06-26 09:00:00,28.4,-97.7,60,Jun
1851175N26270,1851,1851-06-26 12:00:00,28.4,-98.1,60,Jun
1851175N26270,1851,1851-06-26 15:00:00,28.5,-98.4,55,Jun
1851175N26270,1851,1851-06-26 18:00:00,28.6,-98.7,50,Jun
1851175N26270,1851,1851-06-26 21:00:00,28.8,-99.0,50,Jun
1851175N26270,1851,1851-06-27 00:00:00,29.0,-99.3,50,Jun
1851175N26270,1851,1851-06-27 03:00:00,29.2,-99.6,45,Jun
1851175N26270,1851,1851-06-27 06:00:00,29.5,-99.8,40,Jun
1851175N26270,1851,1851-06-27 09:00:00,29.7,-100.0,40,Jun
1851175N26270,1851,1851-06-27 12:00:00,30.0,-100.1,40,Jun
1851175N26270,1851,1851-06-27 15:00:00,30.2,-100.1,40,Jun
1851175N26270,1851,1851-06-27 18:00:00,30.5,-100.1,40,Jun
1851175N26270,1851,1851-06-27 21:00:00,30.8,-100.1,40,Jun
1851175N26270,1851,1851-06-28 00:00:00,31.0,-100.2,40,Jun
1851181N19275,1851,1851-06-29 12:00:00,19.0,-84.6, ,Jun
1851181N19275,1851,1851-06-29 15:00:00,19.1,-85.0, ,Jun
1851181N19275,1851,1851-06-29 18:00:00,19.2,-85.4, ,Jun
1851181N19275,1851,1851-06-29 21:00:00,19.3,-85.8, ,Jun
1851181N19275,1851,1851-06-30 00:00:00,19.4,-86.2, ,Jun
1851181N19275,1851,1851-06-30 03:00:00,19.5,-86.6, ,Jun
1851181N19275,1851,1851-06-30 06:00:00,19.6,-87.0, ,Jun
1851181N19275,1851,1851-06-30 09:00:00,19.7,-87.4, ,Jun
1851181N19275,1851,1851-06-30 12:00:00,19.8,-87.7, ,Jun
1851181N19275,1851,1851-06-30 15:00:00,19.9,-88.1, ,Jun
1851181N19275,1851,1851-06-30 18:00:00,20.0,-88.5, ,Jun
1851181N19275,1851,1851-06-30 21:00:00,20.0,-88.9, ,Jun
1851181N19275,1851,1851-07-01 00:00:00,20.1,-89.3, ,Jul
1851181N19275,1851,1851-07-01 03:00:00,20.2,-89.7, ,Jul
1851181N19275,1851,1851-07-01 06:00:00,20.3,-90.1, ,Jul
1851181N19275,1851,1851-07-01 09:00:00,20.4,-90.5, ,Jul
1851181N19275,1851,1851-07-01 12:00:00,20.5,-90.9, ,Jul
1851181N19275,1851,1851-07-01 15:00:00,20.6,-91.3, ,Jul
1851181N19275,1851,1851-07-01 18:00:00,20.7,-91.6, ,Jul
1851181N19275,1851,1851-07-01 21:00:00,20.7,-91.9, ,Jul
1851181N19275,1851,1851-07-02 00:00:00,20.8,-92.2, ,Jul
1851181N19275,1851,1851-07-02 03:00:00,20.9,-92.5, ,Jul
1851181N19275,1851,1851-07-02 06:00:00,21.0,-92.9, ,Jul
1851181N19275,1851,1851-07-02 09:00:00,21.1,-93.2, ,Jul
1851181N19275,1851,1851-07-02 12:00:00,21.2,-93.6, ,Jul
1851181N19275,1851,1851-07-02 15:00:00,21.3,-94.0, ,Jul
1851181N19275,1851,1851-07-02 18:00:00,21.4,-94.4, ,Jul
1851181N19275,1851,1851-07-02 21:00:00,21.5,-94.8, ,Jul
1851181N19275,1851,1851-07-03 00:00:00,21.6,-95.2, ,Jul
1851181N19275,1851,1851-07-03 03:00:00,21.7,-95.6, ,Jul
1851181N19275,1851,1851-07-03 06:00:00,21.8,-96.0, ,Jul
1851181N19275,1851,1851-07-03 09:00:00,21.9,-96.4, ,Jul
1851181N19275,1851,1851-07-03 12:00:00,22.0,-96.8, ,Jul
1851181N19275,1851,1851-07-03 15:00:00,22.1,-97.1, ,Jul
1851181N19275,1851,1851-07-03 18:00:00,22.2,-97.4, ,Jul
1851181N19275,1851,1851-07-03 21:00:00,22.3,-97.7, ,Jul
1851181N19275,1851,1851-07-04 00:00:00,22.4,-98.0, ,Jul
1851181N19275,1851,1851-07-04 03:00:00,22.5,-98.3, ,Jul
1851181N19275,1851,1851-07-04 06:00:00,22.6,-98.6, ,Jul
1851181N19275,1851,1851-07-04 09:00:00,22.7,-98.9, ,Jul
